""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Mar 18, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,88603,95265,395455,394255,13026435,9696974,13045314,9705298,1685241,638157,1705301,601727,25530865,25547160
DII,925,5648,120298,73844,53,1550,0,1,1513,833,12295,2341,125172,94129
FII,33050,18072,317634,355164,2546654,2327307,2557216,2341702,250877,139595,249117,143303,5615117,5664574
Pro,59196,62789,558676,568800,16264922,12237321,16235534,12216151,3391451,1733174,3362369,1764388,34244740,34210031
TOTAL,181774,181774,1392063,1392063,31838064,24263152,31838064,24263152,5329082,2511759,5329082,2511759,65515894,65515894
